filename,resmem_score,memnet_score
10.jpg,0.9190754890441895,0.7892019152641296
11.jpg,0.782002329826355,0.6468717455863953
12.jpg,0.6551239490509033,0.6770437359809875
13.jpg,0.7764049768447876,0.6721042394638062
14.jpg,0.8145191669464111,0.7407281398773193
15.jpg,0.7893049120903015,0.7711459994316101
16.jpg,0.731499195098877,0.711336076259613
17.jpg,0.766160786151886,0.6753348708152771
18.jpg,0.7552487850189209,0.6127034425735474
19.jpg,0.8522809743881226,0.688352108001709
20.jpg,0.876812219619751,0.7961650490760803
21.jpg,0.6988517045974731,0.6981485486030579
22.jpg,0.8287614583969116,0.7423917055130005
23.jpg,0.8049036264419556,0.7028936743736267
24.jpg,0.6062870621681213,0.633794367313385
25.jpg,0.756361186504364,0.7006238102912903
26.jpg,0.8494009971618652,0.5867317318916321
27.jpg,0.8473761677742004,0.7388920783996582
28.jpg,0.7063964009284973,0.7225193977355957
29.jpg,0.7118877172470093,0.6310746669769287
