Instruction.started,Instruction.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,Instruction_0.started,Instruction_0.stopped,Practice.started,Practice.stopped,Start.started,Start.stopped,pic1,pic2,probe_cat,probe_text,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,first_cat,second_cat,probe_pic,probe_validity,first_pic_idx,second_pic_idx,correct_answer,trials.order
0.0006,8.1851,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,8.1852,10.1108,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,39.1444,44.701,44.7013,45.7515,,,,,,,,,,,,,,,,,,,,,,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Car/27.jpg,stimuli/Person/19.jpg,people,"First picture, how many people?",45.761,52.9854,h,0.6959,,0,0,0,0,1,4,1,1,0,27,19,0,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Food/12.jpg,stimuli/Person/28.jpg,people,"Second picture, how many people?",52.9873,60.0018,h,0.4925,,0,1,1,1,1,3,1,2,1,12,28,5,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Animal/23.jpg,stimuli/Person/18.jpg,animals,"First picture, how many animals?",60.0029,67.1434,h,0.6177,,0,2,2,2,1,2,1,1,1,23,18,5,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Food/20.jpg,stimuli/Person/24.jpg,people,"First picture, how many people?",67.1447,74.4852,h,0.8234,,0,3,3,3,1,3,1,1,0,20,24,0,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Animal/21.jpg,stimuli/Car/28.jpg,animals,"First picture, how many animals?",74.486,81.7933,h,0.7852,,0,4,4,4,1,2,4,1,1,21,28,5,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Person/12.jpg,stimuli/Person/15.jpg,people,"Second picture, how many people?",81.7943,88.8185,h,0.5045,,0,5,5,5,1,1,1,2,1,12,15,1,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Food/11.jpg,stimuli/Animal/18.jpg,animals,"Second picture, how many animals?",88.8195,102.4183,j,7.0764,,0,6,6,6,1,3,2,2,1,11,18,1,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Car/29.jpg,stimuli/Car/14.jpg,cars,"First picture, how many cars?",102.4194,109.6515,h,0.7169,,0,7,7,7,1,4,4,1,1,29,14,5,
,,jundazhu,002,2025-02-05_15h56.56.141,working_memory_cs,2024.2.4,MacIntel,108.6956522,,,,,,,stimuli/Animal/29.jpg,stimuli/Animal/11.jpg,food items,"Second picture, how many food items?",109.6523,,,,,0,8,8,8,1,2,2,2,0,29,11,0,287
